smiles_std,molecule_chembl_id,pchembl_median,pchembl_std,n_measurements,standard_types,domains,binned_only,pchembl_measured,n_measured,active,mw,logp,hbd,hba,tpsa,rot_bonds,heavy_atoms,lipinski_violations,ligand_efficiency
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,CHEMBL3918308,7.84,0.9616652224137042,2,IC50,unspecified,False,7.84,2,1,334.2210000000002,3.274300000000001,1,3,58.87,2,20,0,0.53704
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,CHEMBL3942304,7.15,,1,IC50,unspecified,False,7.15,1,1,496.23200000000014,4.5717000000000025,1,5,62.11000000000001,3,26,0,0.37675000000000003
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,CHEMBL3927649,7.375,1.1808683245815346,2,IC50,unspecified,False,7.375,2,1,411.30700000000013,3.747700000000002,1,4,62.11000000000001,3,26,0,0.3886057692307693
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,CHEMBL3979340,8.55,,1,IC50,unspecified,False,8.55,1,1,401.26800000000014,3.340700000000002,1,5,75.25,3,25,0,0.46854000000000007
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,CHEMBL3967749,8.34,,1,IC50,unspecified,False,8.34,1,1,417.3360000000001,3.8092000000000024,1,5,62.11000000000001,3,25,0,0.45703200000000005
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,CHEMBL1992634,6.2,,1,Ki,unspecified,False,6.2,1,0,273.13300000000004,3.9924000000000017,1,1,28.68,1,16,0,0.5308750000000001
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,CHEMBL3896566,8.0,,1,IC50,unspecified,False,8.0,1,1,417.3360000000001,3.8092000000000024,1,5,62.11000000000001,3,25,0,0.4384
Brc1nc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,CHEMBL5995230,7.15,,1,IC50,unspecified,False,7.15,1,1,497.22000000000014,3.966700000000003,1,6,75.0,3,26,0,0.37675000000000003
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,CHEMBL3931093,8.64,,1,IC50,unspecified,False,8.64,1,1,418.3240000000001,3.204200000000002,1,6,75.0,3,25,0,0.47347200000000006
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)NC(C)C)cn2)C1,CHEMBL5922165,6.19,,1,IC50,JH1,False,6.19,1,0,418.50500000000017,2.0570399999999998,2,6,104.62,6,31,0,0.2735580645161291
C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,CHEMBL5997105,6.19,,1,IC50,JH1,False,6.19,1,0,472.47500000000014,2.5994400000000004,2,6,104.62,6,34,0,0.24942058823529417
C#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC)C1,CHEMBL5427854,8.24,,1,IC50,unspecified,False,8.24,1,1,370.43800000000016,1.2053,1,5,96.77000000000001,5,26,0,0.43418461538461545
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,CHEMBL4106784,6.81,,1,IC50,JH1,False,6.81,1,0,424.4360000000001,2.4111800000000008,2,6,126.27000000000001,6,31,0,0.30095806451612905
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,CHEMBL4113680,5.86,,1,IC50,JH1,False,5.86,1,0,424.4360000000001,2.4111800000000008,2,6,126.27000000000001,6,31,0,0.25897419354838713
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,CHEMBL3942396,9.26,0.0,2,IC50,JH1,True,,0,1,311.389,1.2606999999999995,1,5,57.28,4,23,0,0.5515739130434784
C#CCN(c1c(F)cc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,CHEMBL3930290,10.26,0.0,2,IC50,JH1,True,,0,1,378.3860000000001,2.8262800000000006,1,5,71.84,4,28,0,0.5020071428571429
C#CCN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,CHEMBL3905748,10.26,0.0,2,IC50,JH1,True,,0,1,342.40600000000006,2.5480800000000006,1,5,71.84,4,26,0,0.540623076923077
C#CCN(c1ccc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,CHEMBL3964413,9.26,0.0,2,IC50,JH1,True,,0,1,360.396,2.6871800000000006,1,5,71.84,4,27,0,0.4698592592592593
C#CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,CHEMBL3959909,10.26,0.0,2,IC50,JH1,True,,0,1,343.39400000000006,1.94308,1,6,84.72999999999999,4,26,0,0.540623076923077
C#CCN(c1ccc(S(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,CHEMBL3943618,9.26,0.0,2,IC50,JH1,True,,0,1,396.47600000000006,1.4748999999999992,1,7,95.08000000000001,5,28,0,0.4530785714285715
C#CCN1CCc2cc(Nc3ncc(C)c(-c4cnn(C(C)C)c4)n3)ccc2C1,CHEMBL4795467,6.42,,1,IC50,unspecified,False,6.42,1,0,386.5030000000001,3.9643200000000034,1,5,58.87,5,29,0,0.3032896551724138
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,CHEMBL3959556,7.36,,1,IC50,unspecified,False,7.36,1,1,308.3890000000002,2.1022,2,4,70.9,4,23,0,0.43840000000000007
C#CCSc1nsc(SCC#C)c1C#N,CHEMBL1597766,5.55,,1,IC50,unspecified,False,5.55,1,0,250.373,2.4653800000000006,0,5,36.68,4,15,0,0.5069
C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,CHEMBL1972250,6.2,,1,Ki,unspecified,False,6.2,1,0,312.33200000000005,2.9044800000000004,1,4,74.59,2,24,0,0.3539166666666667
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,CHEMBL3314276,4.84,,1,IC50,unspecified,False,4.84,1,0,355.372,4.219400000000003,2,2,61.54,3,27,0,0.2455851851851852
C#Cc1ccc(C(=O)c2ccc(-c3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5812586,7.51,,1,IC50,JH2,False,7.51,1,1,483.57500000000033,6.436880000000005,1,4,87.36,5,37,1,0.278072972972973
