smiles_std,molecule_chembl_id,pchembl_median,pchembl_std,n_measurements,standard_types,domains,binned_only,pchembl_measured,n_measured,active,mw,logp,hbd,hba,tpsa,rot_bonds,heavy_atoms,lipinski_violations,ligand_efficiency
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,CHEMBL3918308,7.335,1.7748380207782342,2,IC50,unspecified,False,7.335,2,1,334.2210000000002,3.274300000000001,1,3,58.87,2,20,0,0.5024475
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,CHEMBL3927649,6.82,,1,IC50,unspecified,False,6.82,1,0,411.30700000000013,3.747700000000002,1,4,62.11000000000001,3,26,0,0.3593615384615385
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,CHEMBL3979340,7.01,,1,IC50,unspecified,False,7.01,1,1,401.26800000000014,3.340700000000002,1,5,75.25,3,25,0,0.384148
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,CHEMBL3967749,6.96,,1,IC50,unspecified,False,6.96,1,0,417.3360000000001,3.8092000000000024,1,5,62.11000000000001,3,25,0,0.3814080000000001
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,CHEMBL3931093,6.96,,1,IC50,unspecified,False,6.96,1,0,418.3240000000001,3.204200000000002,1,6,75.0,3,25,0,0.3814080000000001
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,CHEMBL3959556,6.57,,1,IC50,unspecified,False,6.57,1,0,308.3890000000002,2.1022,2,4,70.9,4,23,0,0.3913434782608696
C#Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387125,8.02,,1,Ki,unspecified,False,8.02,1,1,374.2270000000002,3.9705000000000013,2,3,71.09,4,25,0,0.43949600000000005
C#Cc1ccc(C(=O)c2ccc(-c3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5812586,6.98,,1,IC50,JH2,False,6.98,1,0,483.57500000000033,6.436880000000005,1,4,87.36,5,37,1,0.2584486486486487
C#Cc1ccc(C(=O)c2ccc(CCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5975969,7.58,,1,IC50,JH2,False,7.58,1,1,511.6290000000003,6.555080000000006,1,4,87.36,7,39,2,0.26627179487179486
C#Cc1ccc(C(=O)c2ccc(COCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5837958,7.85,,1,IC50,JH2,False,7.85,1,1,527.6280000000004,6.486680000000006,1,5,96.59,8,40,2,0.2688625
C#Cc1ccc(C(=O)c2ccc(OCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5990685,7.71,,1,IC50,JH2,False,7.71,1,1,513.6010000000003,6.348880000000005,1,5,96.59,7,39,2,0.2708384615384616
C#Cc1cccc(Nc2cc(Nc3ccccc3S(C)(=O)=O)c3nc(C(F)F)[nH]c3n2)n1,CHEMBL5913315,8.26,,1,Kd,JH2,True,,0,1,454.46200000000016,4.162500000000002,3,7,112.66,6,32,0,0.35363125
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,5.62,,1,Kd,JH2,False,5.62,1,0,393.4430000000002,3.405100000000002,1,7,74.73000000000002,10,29,0,0.26549655172413794
C#Cc1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1C(N)=O,CHEMBL5953717,7.69,,1,IC50,unspecified,False,7.69,1,1,333.35500000000013,1.7774999999999994,3,6,110.75,5,25,0,0.42141200000000006
C/C(=C\C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)O)[C@H]4C[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)C[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)C(C)C,CHEMBL5421894,6.28,,1,IC50,unspecified,False,6.28,1,0,714.9619999999998,6.083800000000005,3,9,190.79999999999998,11,46,2,0.18703478260869566
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,CHEMBL4743357,5.58,,1,IC50,unspecified,False,5.58,1,0,415.49700000000024,4.238400000000002,2,6,79.38000000000001,6,31,0,0.2466
