smiles_std,molecule_chembl_id,p_tyk2_all,p_tyk2,tyk2_binned_only,domain,p_jak1_all,p_jak1,sel_jak1,p_jak2_all,p_jak2,sel_jak2,p_jak3_all,p_jak3,sel_jak3,n_jak_tested,min_selectivity,cross_assay
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,CHEMBL3918308,7.335,7.335,False,Other,8.850000000000001,8.850000000000001,-1.5150000000000015,7.84,7.84,-0.5049999999999999,6.6,6.6,0.7350000000000003,3,-1.5150000000000015,False
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,CHEMBL3927649,6.82,6.82,False,Other,7.83,7.83,-1.0099999999999998,7.375,7.375,-0.5549999999999997,6.94,6.94,-0.1200000000000001,3,-1.0099999999999998,False
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,CHEMBL3979340,7.01,7.01,False,Other,7.71,7.71,-0.7000000000000002,8.55,8.55,-1.540000000000001,7.22,7.22,-0.20999999999999996,3,-1.540000000000001,False
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,CHEMBL3967749,6.96,6.96,False,Other,9.1,9.1,-2.1399999999999997,8.34,8.34,-1.38,7.26,7.26,-0.2999999999999998,3,-2.1399999999999997,False
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,CHEMBL3931093,6.96,6.96,False,Other,7.74,7.74,-0.7800000000000002,8.64,8.64,-1.6800000000000006,7.82,7.82,-0.8600000000000003,3,-1.6800000000000006,False
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,CHEMBL3959556,6.57,6.57,False,Other,8.07,8.07,-1.5,7.36,7.36,-0.79,,,,2,-1.5,False
C#Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,CHEMBL2387125,8.02,8.02,False,Other,,,,,,,,,,0,,False
C#Cc1ccc(C(=O)c2ccc(-c3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5812586,6.98,6.98,False,JH2,8.7,8.7,-1.7199999999999989,7.51,7.51,-0.5299999999999994,5.25,5.25,1.7300000000000004,3,-1.7199999999999989,True
C#Cc1ccc(C(=O)c2ccc(CCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5975969,7.58,7.58,False,JH2,8.82,8.82,-1.2400000000000002,7.09,7.09,0.4900000000000002,,,,2,-1.2400000000000002,True
C#Cc1ccc(C(=O)c2ccc(COCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5837958,7.85,7.85,False,JH2,9.15,9.15,-1.3000000000000007,7.71,7.71,0.13999999999999968,6.5,6.5,1.3499999999999996,3,-1.3000000000000007,True
C#Cc1ccc(C(=O)c2ccc(OCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,CHEMBL5990685,7.71,7.71,False,JH2,9.1,9.1,-1.3899999999999997,7.8,7.8,-0.08999999999999986,6.89,6.89,0.8200000000000003,3,-1.3899999999999997,True
C#Cc1cccc(Nc2cc(Nc3ccccc3S(C)(=O)=O)c3nc(C(F)F)[nH]c3n2)n1,CHEMBL5913315,8.26,,True,JH2,,,,,,,,,,0,,True
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,5.62,5.62,False,JH2,,,,5.415,5.415,0.20500000000000007,6.16,6.16,-0.54,2,-0.54,True
C#Cc1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1C(N)=O,CHEMBL5953717,7.69,7.69,False,Other,7.74,7.74,-0.04999999999999982,,,,8.58,8.58,-0.8899999999999997,2,-0.8899999999999997,False
C/C(=C\C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)O)[C@H]4C[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)C[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)C(C)C,CHEMBL5421894,6.28,6.28,False,Other,6.08,6.08,0.20000000000000018,5.92,5.92,0.3600000000000003,6.28,6.28,0.0,3,0.0,False
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,CHEMBL4743357,5.58,5.58,False,Other,,,,5.55,5.55,0.03000000000000025,7.48,7.48,-1.9000000000000004,2,-1.9000000000000004,False
C/C=C/c1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1C(N)=O,CHEMBL5863730,8.04,8.04,False,Other,8.49,8.49,-0.45000000000000107,8.68,8.68,-0.6400000000000006,8.71,8.71,-0.6700000000000017,3,-0.6700000000000017,False
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,CHEMBL2035181,6.51,6.51,False,Other,5.72,5.72,0.79,6.96,6.96,-0.4500000000000002,5.04,5.04,1.4699999999999998,3,-0.4500000000000002,False
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,CHEMBL2035052,7.52,7.52,False,Other,6.01,6.01,1.5099999999999998,7.75,7.75,-0.23000000000000043,5.85,5.85,1.67,3,-0.23000000000000043,False
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,CHEMBL2035051,6.2,6.2,False,Other,,,,6.54,6.54,-0.33999999999999986,6.0,6.0,0.20000000000000018,2,-0.33999999999999986,False
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1,CHEMBL2035186,6.92,6.92,False,Other,5.52,5.52,1.4000000000000004,7.17,7.17,-0.25,5.06,5.06,1.8600000000000003,3,-0.25,False
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,CHEMBL2035184,7.33,7.33,False,Other,5.82,5.82,1.5099999999999998,7.77,7.77,-0.4399999999999995,6.17,6.17,1.1600000000000001,3,-0.4399999999999995,False
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,CHEMBL2035046,6.02,6.02,False,Other,,,,6.03,6.03,-0.010000000000000675,,,,1,-0.010000000000000675,False
C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2cccc(c2)COC/1,CHEMBL2035043,6.82,6.82,False,Other,5.32,5.32,1.5,6.82,6.82,0.0,,,,2,0.0,False
C1=C2COC/C=C/COCc3cc(ccc3OCCN3CCCC3)Nc3nccc(n3)C(=C1)O2,CHEMBL2035185,6.64,6.64,False,Other,5.57,5.57,1.0699999999999994,7.34,7.34,-0.7000000000000002,5.37,5.37,1.2699999999999996,3,-0.7000000000000002,False
C1=C2COC/C=C/COCc3cc(ccc3OCCN3CCCC3)Nc3nccc(n3)C(=C1)S2,CHEMBL2035183,7.5,7.5,False,Other,6.38,6.38,1.12,8.14,8.14,-0.6400000000000006,6.19,6.19,1.3099999999999996,3,-0.6400000000000006,False
C1=C2COC/C=C/COCc3cccc(c3)Nc3nccc(n3)C(=C1)O2,CHEMBL2035048,6.17,6.17,False,Other,5.1,5.1,1.0700000000000003,6.66,6.66,-0.4900000000000002,,,,2,-0.4900000000000002,False
C1=C2OC/C=C/COCc3cc(ccc3OCCN3CCCC3)Nc3nccc(n3)C(=C1)O2,CHEMBL4228766,6.64,6.64,False,Other,,,,7.34,7.34,-0.7000000000000002,,,,1,-0.7000000000000002,False
C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,CHEMBL2181315,5.28,5.28,False,Other,,,,5.92,5.92,-0.6399999999999997,,,,1,-0.6399999999999997,False
C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,CHEMBL2181322,6.85,6.85,False,Other,5.6,5.6,1.25,7.08,7.08,-0.23000000000000043,5.8,5.8,1.0499999999999998,3,-0.23000000000000043,False
C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,CHEMBL2181321,6.8,6.8,False,Other,5.06,5.06,1.7400000000000002,7.22,7.22,-0.41999999999999993,,,,2,-0.41999999999999993,False
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,CHEMBL2181331,7.08,7.08,False,Other,6.02,6.02,1.0600000000000005,7.82,7.82,-0.7400000000000002,6.12,6.12,0.96,3,-0.7400000000000002,False
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,CHEMBL2181083,7.1,7.1,False,Other,5.68,5.68,1.42,7.32,7.32,-0.22000000000000064,6.08,6.08,1.0199999999999996,3,-0.22000000000000064,False
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,CHEMBL2181084,7.09,7.09,False,Other,5.62,5.62,1.4699999999999998,7.02,7.02,0.07000000000000028,5.48,5.48,1.6099999999999994,3,0.07000000000000028,False
C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,CHEMBL2181316,7.16,7.16,False,Other,,,,6.64,6.64,0.5200000000000005,,,,1,0.5200000000000005,False
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,CHEMBL2035187,7.1,7.1,False,Other,6.43,6.43,0.6699999999999999,7.85,7.85,-0.75,6.949999999999999,6.949999999999999,0.15000000000000036,3,-0.75,False
C=C(C(=O)NCC)c1ccc(Nc2nc(-c3c(F)cccc3F)nc3c2C(=O)NC3)cc1,CHEMBL6024769,7.26,,True,Other,,,,,,,,,,0,,False
