molecule_chembl_id,reference_drug,smiles_std,score,pchembl_median,binned_only,domain,sel_jak1,sel_jak2,sel_jak3,min_selectivity,n_jak_tested,ligand_efficiency,qed,mw,logp,tpsa,lipinski_violations,scaffold
CHEMBL4440718,,[2H]C([2H])([2H])NC(=O)c1nnc(Nc2ccccn2)cc1Nc1ccccc1S(C)(=O)=O,0.68,9.28,False,JH2,,3.709999999999999,,3.709999999999999,1,0.4540571428571428,0.5733552008790153,401.4663053340002,2.1219,125.97,0,c1ccc(Nc2cnnc(Nc3ccccn3)c2)cc1
CHEMBL5417355,,CC(=O)Nc1cc(Nc2cccc(S(C)(=O)=O)c2)c(-c2ccccn2)cn1,0.623,10.42,False,JH2,2.289999999999999,,,2.289999999999999,1,0.5287185185185186,0.7024037038175877,382.4450000000001,3.249100000000001,101.05,0,c1ccc(Nc2ccncc2-c2ccccn2)cc1
CHEMBL5422616,,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,0.511,8.77,False,Other,3.169999999999999,3.829999999999999,,3.169999999999999,2,0.3533794117647059,0.3820138361303424,460.4980000000003,1.9676999999999996,127.47,0,O=C(NC1CCC1)c1cnn2ccc(Nc3cccn(-c4ccccn4)c3=O)nc12
CHEMBL5419627,,CNC(=O)c1nnc(NC(=O)N2CCC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.498,8.91,False,JH2,2.08,3.045,3.4800000000000004,2.08,3,0.381459375,0.5286624361538312,437.46400000000017,1.6214999999999993,139.18999999999997,0,O=C(Nc1cc(Nc2cccc(-c3nc[nH]n3)c2)cnn1)N1CCC1
CHEMBL4074130,,Clc1cccc(Cl)c1-c1nc2ccnc(Nc3ccncn3)c2[nH]1,0.481,9.22,False,Other,,2.200000000000001,,2.200000000000001,1,0.5263083333333334,0.5657301650462933,357.20400000000006,4.465300000000002,79.38,0,c1ccc(-c2nc3ccnc(Nc4ccncn4)c3[nH]2)cc1
CHEMBL4099854,,COc1cc(Nc2nccc3nc(-c4c(Cl)cccc4Cl)[nH]c23)ncn1,0.467,9.15,False,Other,,2.1900000000000004,,2.1900000000000004,1,0.4821346153846154,0.5370959000686482,387.2300000000001,4.473900000000002,88.61,0,c1ccc(-c2nc3ccnc(Nc4ccncn4)c3[nH]2)cc1
CHEMBL4435170,deucravacitinib,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.461,8.52,False,Other,2.31,2.31,2.289999999999999,2.289999999999999,3,0.3765290322580645,0.5206742897051934,425.4673053340002,1.7324,135.95,0,O=C(Nc1cc(Nc2cccc(-c3nc[nH]n3)c2)cnn1)C1CC1
CHEMBL4092191,,N#Cc1ccnc(Nc2nccc3nc(-c4c(Cl)cccc4Cl)[nH]c23)c1,0.457,9.15,False,Other,,2.12,,2.12,1,0.4821346153846154,0.5245340716548234,381.22600000000006,4.941980000000001,90.28,0,c1ccc(-c2nc3ccnc(Nc4ccccn4)c3[nH]2)cc1
CHEMBL5561392,,N#Cc1ccccc1CN1CCC(Nc2c(-c3cc[nH]n3)cnc3[nH]ccc23)CC1,0.456,8.89,False,Other,3.69,,2.2,2.2,2,0.4059766666666667,0.4745503431102612,397.4860000000001,3.901180000000002,96.42000000000002,0,c1ccc(CN2CCC(Nc3c(-c4cc[nH]n4)cnc4[nH]ccc34)CC2)cc1
CHEMBL5558196,,Cc1cc(C#N)ncc1Oc1cc(Nc2ccc(N3CCOCC3)nn2)c2ncn(C)c2n1,0.453,8.64,False,Other,2.380000000000001,2.6500000000000004,2.210000000000001,2.210000000000001,3,0.3586909090909091,0.4916499773186885,443.4710000000003,2.7059,126.9,0,c1cncc(Oc2cc(Nc3ccc(N4CCOCC4)nn3)c3nc[nH]c3n2)c1
CHEMBL4100889,,O=C(Nc1nccc2nn(-c3c(Cl)cccc3Cl)cc12)C1CC1,0.449,8.89,False,Other,,2.170000000000001,,2.170000000000001,1,0.5295347826086957,0.7767810729367864,347.2050000000001,4.075800000000002,59.81,0,O=C(Nc1nccc2nn(-c3ccccc3)cc12)C1CC1
CHEMBL5517734,,Cc1cc(C#N)ncc1Oc1cc(Nc2ccc(C(=O)N3CCN(C)CC3)cn2)c2ncn(C)c2n1,0.436,8.74,False,Other,2.285,2.7,2.140000000000001,2.140000000000001,3,0.3326055555555556,0.4559845474115342,483.53600000000034,2.8619000000000003,125.09,0,O=C(c1ccc(Nc2cc(Oc3cccnc3)nc3[nH]cnc23)nc1)N1CCNCC1
CHEMBL4851075,,N#CCCn1cc(-c2nc(Nc3ccc4c(c3)CCN4)ncc2F)cn1,0.415,8.7,False,Other,,2.1599999999999997,,2.1599999999999997,1,0.4584230769230769,0.7353373917335861,349.373,3.104480000000001,91.45,0,c1cc(-c2cn[nH]c2)nc(Nc2ccc3c(c2)CCN3)n1
CHEMBL5198005,,CCNC(=O)c1ccc(Nc2cc(-c3c(F)cccc3F)nc3c2C(=O)NC3)nc1,0.396,8.575,False,Other,,2.6149999999999998,,2.6149999999999998,1,0.3915916666666666,0.6017032141882711,409.3960000000001,3.158500000000001,96.01,0,O=C1NCc2nc(-c3ccccc3)cc(Nc3ccccn3)c21
CHEMBL4596392,,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.316,8.24,False,Other,,2.6000000000000005,,2.6000000000000005,1,0.3641548387096774,0.5237289112980588,422.4490000000002,1.7323999999999995,135.95,0,O=C(Nc1cc(Nc2cccc(-c3nc[nH]n3)c2)cnn1)C1CC1
CHEMBL4068427,,O=C(Nc1nccc2nc(-c3c(Cl)cccc3Cl)oc12)C1CC1,0.302,8.06,False,Other,,2.0100000000000007,,2.0100000000000007,1,0.4800956521739131,0.7542460254524065,348.18900000000014,4.5451000000000015,68.02000000000001,0,O=C(Nc1nccc2nc(-c3ccccc3)oc12)C1CC1
CHEMBL5977587,,N#Cc1cccc(F)c1-c1cc(-n2ccc(N3CCOCC3CO)n2)c2c(n1)CNC2=O,0.259,8.3,False,Other,,2.040000000000001,,2.040000000000001,1,0.35534375,0.6373644122157,434.4310000000002,1.3859799999999989,116.3,0,O=C1NCc2nc(-c3ccccc3)cc(-n3ccc(N4CCOCC4)n3)c21
